Title of the Job,Company,Company Info,Responsibilities,Requirements,Job Type,Experience,Education
Full Stack .Net Developer,,"Karrot is looking to add an individual to our development team. We work with national and global brands to build loyalty, engage an audience and create lasting connections.","Assist in developing and analyze the functional and technical requirements.,Translate business requirements into web-based application code.,Identify potential performance issues within the application and provide solutions.,Maintain code quality and organization through the software code repository.,Adhere to the application architecture and adopted standards.","Experience developing software for the .NET environment using C# and ASP.NET.,Applications Development experience,Strong knowledge of database concepts and Azure,Develop enterprise-level software,Thorough understanding of object-oriented principles and MVC best practices.,Ability to write clean, readable, and easily maintainable code,Experience with REST, SOAP, and related Web Service oriented architectures,Experience with HTML, CSS, JavaScript, JSON, AJAX,Understanding of fundamental design principles for building a scalable application,Excellent communication skills is a must",,".net: 2 years (Preferred),relevant: 1 year (Preferred)",United States (Required)
Database Administrator,,"We are looking for a ,for a direct hire position located in ","Manage SQL Server databases,Configure and maintain database servers and processes,Monitor system's health and performance,Ensure high levels of performance, availability, sustainability and security,Analyze, solve, and correct issues in real time,Provide suggestions for solutions,Refine and automate regular processes, track issues, and document changes,Assist developers with query tuning and schema refinement,Provide 24x7 support for critical production systems,Perform scheduled maintenance and support release deployment activities after hours","7+ years of experience as a SQL Server DBA or similar role,7+ years of experience with SQL Server Administration experience required,Development experience, C# preferred,Experience with Performance Tuning and Optimization (PTO),Experience with backups, restores and recovery models,Experience with High Availability (HA) and Disaster Recovery (DR) options for SQL Server,Experience with Windows server, including Active Directory,Experience with Agile methodologies,Critical thinker and problem-solving skills,Team player,Good time-management skills,Great interpersonal and communication skills",Job Type: Full-time,"SQL Server DBA: 5 years (Required),Development: 3 years (Required),C#: 3 years (Required),Database Administration: 5 years (Required)",One location
Junior Database Developer,,,,,,,
IT-Database Developer,,,"Entry-level SQL query creation,Performance tuning of created queries,SSRS Report Creation,All other duties as assigned.","EDUCATION: Associates Degree in an IT field required,EXPERIENCE: Previous SQL development is a plus",,"Understanding of and ability to navigate multiple file systems in Microsoft Windows environment,Ability to read, analyze and implement written and verbal instructions,Professional verbal and written communication skills,Working knowledge of SSMS and SQL programming,Basic knowledge of relational databases,Ability to effectively communicate and collaborate with others,Strong attention to detail,Strong ability to research and troubleshoot issues,Knowledge of the following software: Visual Studio 2017, SQL Server Management Studio 2016, SQL Server Reporting Services, All Microsoft Office products, SQL Server 2016, Great Plains ERP System, Help Desk Ticketing system",
Database Developer,,,,,,,
Database Developer,,Midlands' Database Developer’s role is to deliver professional reports to all levels of the organization. This includes troubleshooting existing reports and software applications for all internal employees. Assist in the day to day management of all software report requests and software application service tickets.,"Perform software solution development activities that include but not limited to: module analysis, software system design, software system requirements development, software code documentation and software testing,Design, develop, test, implement and maintain reports as necessary to fulfill business requirements.,Create ad-hoc reports utilizing various data sources.,Design and develop solutions that will provide automated self-service reporting and dashboard designs,Execute code changes and new code development for reports and in-house .Net applications,Design, build, test, and maintain efficient, reusable, and reliable SQL Scripts and database designs,Perform data analysis, data querying, and data validation functions,Identify defects, inconsistencies, and bugs in scripts and database designs; devise solutions to these problems,Create new forms and reports, testing, debugging and performing day-to-day support.,Design, run and monitor software performance tests on new and existing programs for the purposes of correcting errors, isolating areas for improvement, and general debugging.,Liaise with network administrators, systems analysts, and software engineers to assist in resolving problems with software products or company software systems.,Develop and maintain user manuals and guidelines.,Train end users to operate new or modified programs.,Hands-on experience developing test cases and test plans,Additional duties as assigned by supervisors","Bachelors Degree in Computer Science or related field.,2-5 years of experience with databases, specifically SQL; SQL reporting writing using SSRS/ custom reporting tools,Application development experience with Windows applications in VB.NET/C# and working knowledge of Visual Studio environment,Experience with performance tuning of applications in real-time environment,Understanding of Windows system architecture/Windows debugging skills,Strong object-oriented design and problem solving skills",Job Type: Full-time,SQL Database reporting: 2 years (Preferred),Bachelor's (Preferred)
Database Developer/Administrator,,Stage one: Health insurance sales company looking to contract person (s) to transfer paper insurance applications and files to digital database files. Skills required are data base creation and management. The primary goal is to eliminate and destroy all paper files from the existing office space in order to expedite and facilitate company relocation to commercial space,,,Stage one completion bonus,,
Database Developer,,,,,,,
SQL Database Developer,,,"Database normalization,Data analysis and migration,Database performance analysis to find bottlenecks and areas for improvement.,Maintenance plans, compression, replication, and other admin responsibilities.","5+ years of experience using SQL Server; T/SQL, or equivalent relational database.","For overall project management, we use an internally-hosted instance of YouTrack as well as Confluence for documentation efforts. Our SQL servers range from MS SQL 2014-2017.","Medical, dental and vision insurance,Disability & life insurance based upon election of medical insurance,Paid holidays, vacation, and sick days based upon tenure,401k with employer match,Flexible spending account (FSA)","Microsoft SQL Server: 5 years (Preferred),SQL: 5 years (Required)"
SQL Server Database Developer,,,"Learn, maintain and upgrade existing company systems as needed.,Develop new applications as requested to improve the organization’s productivity and/or processes and engage in the database development process, from inception through delivery.,Create, modify and design Microsoft Access and SQL Server Reporting Services (SSRS) reports, MS Access data exports and imports, and SQL Server Integration Services (SSIS) packages.,Provide process improvements by automating manual processes.,Analyze, audit, modify, and amend data in systems as required by other team members and to better serve the needs of the business.,Assist with development efforts to define and automate data gathering, analysis and reporting processes.,Communicate database changes to affected parties and support change management activities.,Train employees on the proper use of databases.,Respond to critical database incidents while ensuring the integrity of systems and data.,Perform other related duties as assigned.","Advanced development experience using Microsoft Access/Visual Basic for Applications (VBA) is vital.,Experience with SQL Server, writing T-SQL and having a strong understanding of relational database structures and design is preferred.,Experience in Excel, .Net, C#, or API development is a plus.,Strong analytical and problem-solving skills, an ability to conform to shifting priorities, and to balance multiple projects and tasks concurrently is necessary.,Strong written and oral communication, and interpersonal skills are necessary to effectively communicate with persons at all levels of the organization.,Exceptional team player with leadership ability, critical thinking abilities, and strong work ethic.,Experience with data integration, reporting and analytics functions is highly preferable.,Microsoft Certified Professional certification desirable.,Authorized to work in the United States without sponsorship now or in the future.",,"Microsoft Access/VBA: 1 year (Required),SQL Server: 2 years (Preferred)",High school or equivalent (Required)
Database Developer,,,,,,,
Database Developer Intern,,,,,,,
Database and Integration Developer Intern,,,,,,,
Database ETL Developer,,InfoMagnus is looking for a Senior Database and ETL Developer with the following experiences:,"Database development experience in Microsoft SQL Server, PostgreSQL,Knowledge of data integration concepts and experience developing using tools such as Microsoft SSIS, Talend,Working knowledge of Microsoft BI stack of tools (SQL Server, SSIS, SSRS),Expertise in data analysis and integration,Familiarity with Python coding to be able to support existing projects,Familiarity with tools such as TFS, Visual Studio, Gits,Preferred knowledge in AWS database technologies such as Redshift, RDS,Preferred knowledge in reporting tools such as QlikView, Tableau","Support and enhance existing ETL processes to load multiple data warehouses in SQL Server, PostgreSQL and Redshift databases,Work with business users and IT to analyze root cause of data issues identified,Address immediate data issues and also develop more sustainable, long term approaches to avoid such issues,Develop on the above mentioned databases to support additional reporting and analytics,Develop additional data integrations using tools such as SSIS, Talend",Job Type: Full-time,"relevant: 5 years (Preferred),ETL: 5 years (Preferred)",
Business Intelligence Developer,," is a progressive national service provider and industry leading franchisor in need of a , based out of our , location , Competitive benefits include; medical, dental, life and disability insurance, 401(k) participation and paid holidays and vacation. Business casual environment. We are interested in your new and innovative ideas to help grow our business. Local candidates GC/USC only.","We offer a culture which supports , and our core standards of , and ,For more than 40 years, Spring-Green has been beautifying America’s neighborhood lawns and landscapes and we are proud to stand behind our work.","Design and develop semantics data layer based on the operational data models,Implement dashboards, scorecards, and non-aggregated reports with Microsoft SSRS and Power BI,Reverse engineer the existing data cubes and report procedures, and data warehouse logics,Participate in the software development lifecycle of complex data initiatives, including analysis, testing and documentation of systems developed,Collaborate with other business entity for new data extraction,Build effective working relationship with all functional areas of Spring-Green,Maintain current business reporting functionality during migration from Excel and Access",,"Bachelor degree from accredited college or university in related field,4+ years of experience with Microsoft SQL with SSAS and SSRS exposures,2+ years of experience with semantics data modeling and visualization tool (For example; SAP WEBI, Tableau, PowerBI),Independent self-starter with excellent time management and communication skills,Good understanding of Excel macro and automation,Knowledge of physical and logical database design a plus","BI Visualization Tool: 2 years (Required),SQL: 4 years (Required)"
Developer I - PS23493,,,,,,,
Database Developer,,,"Hands on development supporting the Finance department.,Understanding of various product types – OTC’s, Futures, Equities, Variance Swaps, etc.,Ability to understand and analyse trading/P&L data to find defects and suggests improvements.","7+ years software development experience,Development experience in MS SQL, Sybase – building Complex SQL and Stored procedure,Understanding of accounting concepts required,Strong and effective communication skills with proven ability to develop strong relationships with business partners,Highly analytical with good problem solving skills; able to work independently in a fast-paced environment,Since there are no BA’s on the team ability to do understand and analyse data is key,Experience working with Corporate Finance data and processes",,Working knowledge of SSIS and development experience in an industry leading ETL tool.,"Hands on development supporting the Finance department.,Understanding of various product types – OTC’s, Futures, Equities, Variance Swaps, etc.,Ability to understand and analyse trading/P&L data to find defects and suggests improvements."
Bus Info Developer Consultant-PS25465,,,,,,,
Intern - Data Architecture Developer,,,,,,,
Sr. Database Developer,,,,,,,
Entry Level Software Developer,,Bacloudsystems is looking for entry-level Software Developers. We are seeking passionate developers to join our growing development team.,relevant: 1 year (Preferred),Bachelor's (Required),Requirements:,,
Database Developer,,"Kalderos delivers technology that solves the challenges facing the US healthcare system. At Kalderos, we develop technology solutions with a focus on simplifying the complex coordination of drug discount programs from exhaustive data services to intelligent reporting to issue resolution.","Build and maintain relational database artifacts and analytic tools that are high-performance, maintainable and flexible.,Assist the Database Developer in planning for and acting on requirements for constant growth and expansion of Kalderos’ database environment.,Quickly gain expertise with Kalderos’ existing database and business models and provide input on how to continually enhance both.,Be the first line of support for questions about data quality and status.,Adhere to and promote software development standards and align them with changing technologies.,Continually research and analyze new database frameworks and tools that Kalderos can bring to bear in its continuous improvement journey.","Relish the opportunity to address some of the most complex challenges in healthcare,Bachelor’s degree in a computer-science or related technical field,Grasp of the relational data model and Structured Query Language (SQL),Experience in a RDBMS/SQL focused role,Ambition and desire to learn new things and seek new responsibilities,Solid organization skills and ability to manage multiple tasks and assignments,Excellent collaboration skills when working with internal staff and customers,The desire to solve tough problems,Ability to thrive and deliver results in an ambiguous environment",Company Perks,"Working for a Startup Company with a collaborative and positive culture,A Fair PTO system that allows for a healthy work life balance,Opportunity to work on new technologies and learn new skills,Work in a small team willing to listen,Freedom to work in other areas,Guidance from a transparent leadership team,Entertainment Allowance,Training Allowance",relevant: 3 years (Required)
Database Administrator,City of Tempe Arizona,,,,,,
SQL Developer,,Engagement Description - A brief description of the project or initiative. Include:,"Work closely with clients, business analysts and team members on small to large, complex projects to understand the business requirements that drive the analysis and design of quality technical solutions that align with business and IT strategies and are in compliance with the organization’s architectural standards. Provide support in the full systems life cycle for multiple applications to ensure application software is delivered on time and within budget.,Code applications using a disciplined development process.,Develop, execute, and document unit test plans.,Support and/or execute all testing efforts across the life cycle.,Assist in the deployment of new modules, upgrades and fixes to the production environment.,Make modules production-ready by moving them to libraries, completing forms and version control documents, following procedures, etc.,Validate deployment. Assist in production support.,Troubleshoot existing information systems to identify errors or deficiencies and develops solutions. Provide ongoing maintenance of applications.,Document functions and changes to new or modified modules and test activities/results.,Assist in the development of user guides and training documentation for systems.,Create technical design specifications and assist in sizing technical requirements, as needed.,Adhere to standards and procedures; check for compliance.,Review modules for quality assurance.,Evaluate new application packages and tools and perform research on best practices and provide recommendations for solutions, as needed.,Prepare and present formal training to IT staff, as needed.,Provide technical coaching and mentoring to less-experienced team members.","SQL Server Integration Services (SSIS),SQL Database design,Microsoft SQL Server 2014",,"Experience in systems design and a solid understanding of development, database development, testing, and integration methodologies required.,Analytical and systems thinking.,Accuracy and attention to detail.,Written and verbal communication skills.,Other related skills and/or abilities may be required to perform this job.",(1) years’ experience working in a SSIS and SQL Database
Database Developer,Midlands Management Corporation,Midlands' Database Developer’s role is to deliver professional reports to all levels of the organization. This includes troubleshooting existing reports and software applications for all internal employees. Assist in the day to day management of all software report requests and software application service tickets.,"Perform software solution development activities that include but not limited to: module analysis, software system design, software system requirements development, software code documentation and software testing,Design, develop, test, implement and maintain reports as necessary to fulfill business requirements.,Create ad-hoc reports utilizing various data sources.,Design and develop solutions that will provide automated self-service reporting and dashboard designs,Execute code changes and new code development for reports and in-house .Net applications,Design, build, test, and maintain efficient, reusable, and reliable SQL Scripts and database designs,Perform data analysis, data querying, and data validation functions,Identify defects, inconsistencies, and bugs in scripts and database designs; devise solutions to these problems,Create new forms and reports, testing, debugging and performing day-to-day support.,Design, run and monitor software performance tests on new and existing programs for the purposes of correcting errors, isolating areas for improvement, and general debugging.,Liaise with network administrators, systems analysts, and software engineers to assist in resolving problems with software products or company software systems.,Develop and maintain user manuals and guidelines.,Train end users to operate new or modified programs.,Hands-on experience developing test cases and test plans,Additional duties as assigned by supervisors","Bachelors Degree in Computer Science or related field.,2-5 years of experience with databases, specifically SQL; SQL reporting writing using SSRS/ custom reporting tools,Application development experience with Windows applications in VB.NET/C# and working knowledge of Visual Studio environment,Experience with performance tuning of applications in real-time environment,Understanding of Windows system architecture/Windows debugging skills,Strong object-oriented design and problem solving skills",Job Type: Full-time,SQL Database reporting: 2 years (Preferred),Bachelor's (Preferred)
Programmer/Analyst - Data Development,Marshfield Clinic Health System,,,,,,
Intern - Data Architecture Developer,USAble Life,,,,,,
Database Developer/Administrator,,Stage one: Health insurance sales company looking to contract person (s) to transfer paper insurance applications and files to digital database files. Skills required are data base creation and management. The primary goal is to eliminate and destroy all paper files from the existing office space in order to expedite and facilitate company relocation to commercial space,,,Stage one completion bonus,,
Database ETL Developer,,InfoMagnus is looking for a Senior Database and ETL Developer with the following experiences:,"Database development experience in Microsoft SQL Server, PostgreSQL,Knowledge of data integration concepts and experience developing using tools such as Microsoft SSIS, Talend,Working knowledge of Microsoft BI stack of tools (SQL Server, SSIS, SSRS),Expertise in data analysis and integration,Familiarity with Python coding to be able to support existing projects,Familiarity with tools such as TFS, Visual Studio, Gits,Preferred knowledge in AWS database technologies such as Redshift, RDS,Preferred knowledge in reporting tools such as QlikView, Tableau","Support and enhance existing ETL processes to load multiple data warehouses in SQL Server, PostgreSQL and Redshift databases,Work with business users and IT to analyze root cause of data issues identified,Address immediate data issues and also develop more sustainable, long term approaches to avoid such issues,Develop on the above mentioned databases to support additional reporting and analytics,Develop additional data integrations using tools such as SSIS, Talend",Job Type: Full-time,"relevant: 5 years (Preferred),ETL: 5 years (Preferred)",
Business Intelligence Developer,Spring Green Enterprise," is a progressive national service provider and industry leading franchisor in need of a , based out of our , location , Competitive benefits include; medical, dental, life and disability insurance, 401(k) participation and paid holidays and vacation. Business casual environment. We are interested in your new and innovative ideas to help grow our business. Local candidates GC/USC only.","We offer a culture which supports , and our core standards of , and ,For more than 40 years, Spring-Green has been beautifying America’s neighborhood lawns and landscapes and we are proud to stand behind our work.","Design and develop semantics data layer based on the operational data models,Implement dashboards, scorecards, and non-aggregated reports with Microsoft SSRS and Power BI,Reverse engineer the existing data cubes and report procedures, and data warehouse logics,Participate in the software development lifecycle of complex data initiatives, including analysis, testing and documentation of systems developed,Collaborate with other business entity for new data extraction,Build effective working relationship with all functional areas of Spring-Green,Maintain current business reporting functionality during migration from Excel and Access",,"Bachelor degree from accredited college or university in related field,4+ years of experience with Microsoft SQL with SSAS and SSRS exposures,2+ years of experience with semantics data modeling and visualization tool (For example; SAP WEBI, Tableau, PowerBI),Independent self-starter with excellent time management and communication skills,Good understanding of Excel macro and automation,Knowledge of physical and logical database design a plus","BI Visualization Tool: 2 years (Required),SQL: 4 years (Required)"
SQL Developer,Ascension Technologies,,,,,,
SQL Server Database Developer,Electri-Cable Assemblies,,"Learn, maintain and upgrade existing company systems as needed.,Develop new applications as requested to improve the organization’s productivity and/or processes and engage in the database development process, from inception through delivery.,Create, modify and design Microsoft Access and SQL Server Reporting Services (SSRS) reports, MS Access data exports and imports, and SQL Server Integration Services (SSIS) packages.,Provide process improvements by automating manual processes.,Analyze, audit, modify, and amend data in systems as required by other team members and to better serve the needs of the business.,Assist with development efforts to define and automate data gathering, analysis and reporting processes.,Communicate database changes to affected parties and support change management activities.,Train employees on the proper use of databases.,Respond to critical database incidents while ensuring the integrity of systems and data.,Perform other related duties as assigned.","Advanced development experience using Microsoft Access/Visual Basic for Applications (VBA) is vital.,Experience with SQL Server, writing T-SQL and having a strong understanding of relational database structures and design is preferred.,Experience in Excel, .Net, C#, or API development is a plus.,Strong analytical and problem-solving skills, an ability to conform to shifting priorities, and to balance multiple projects and tasks concurrently is necessary.,Strong written and oral communication, and interpersonal skills are necessary to effectively communicate with persons at all levels of the organization.,Exceptional team player with leadership ability, critical thinking abilities, and strong work ethic.,Experience with data integration, reporting and analytics functions is highly preferable.,Microsoft Certified Professional certification desirable.,Authorized to work in the United States without sponsorship now or in the future.",,"Microsoft Access/VBA: 1 year (Required),SQL Server: 2 years (Preferred)",High school or equivalent (Required)
Database Developer,Farm Credit Services of America,,,,,,
Developer,Northwestern University,,,,,,
SQL Database Developer,"CaptiveAire, Inc.",,"Database normalization,Data analysis and migration,Database performance analysis to find bottlenecks and areas for improvement.,Maintenance plans, compression, replication, and other admin responsibilities.","5+ years of experience using SQL Server; T/SQL, or equivalent relational database.","For overall project management, we use an internally-hosted instance of YouTrack as well as Confluence for documentation efforts. Our SQL servers range from MS SQL 2014-2017.","Medical, dental and vision insurance,Disability & life insurance based upon election of medical insurance,Paid holidays, vacation, and sick days based upon tenure,401k with employer match,Flexible spending account (FSA)","Microsoft SQL Server: 5 years (Preferred),SQL: 5 years (Required)"
Bi Developer,Advocate Health Care,,,,,,
Bus Info Developer Consultant-PS25465,"Anthem, Inc.",,,,,,
Database / Web Developer,,,,,,,
Database Developer,IMPEX Technologies,,,,,,
SQL Developer,,,,,,,
Database Developer,LogicManager,,,,,,
Database Developer,Employers Pro Advantage,,,,,,
Database Developer,Innovative Blood Resources,,,,,,
4GL Developer with .Net,,Title: ,"Extensive experience in coding using C#,Need strong experience in .Net Platform.,Need to have hands on experience with Angular,Concept of SQL Query should be crystal clear.,Need to have strong communication skills,Hands on full stack .Net developer plus working experience in 4GL programming languages.","C#: 6 years (Preferred),4GL: 3 years (Required)",Rate,More than 1 year,Likely
BI Developer,Adtalem Global Education,,,,,,
Database ETL Developer,,InfoMagnus is looking for a Senior Database and ETL Developer with the following experiences:,"Database development experience in Microsoft SQL Server, PostgreSQL,Knowledge of data integration concepts and experience developing using tools such as Microsoft SSIS, Talend,Working knowledge of Microsoft BI stack of tools (SQL Server, SSIS, SSRS),Expertise in data analysis and integration,Familiarity with Python coding to be able to support existing projects,Familiarity with tools such as TFS, Visual Studio, Gits,Preferred knowledge in AWS database technologies such as Redshift, RDS,Preferred knowledge in reporting tools such as QlikView, Tableau","Support and enhance existing ETL processes to load multiple data warehouses in SQL Server, PostgreSQL and Redshift databases,Work with business users and IT to analyze root cause of data issues identified,Address immediate data issues and also develop more sustainable, long term approaches to avoid such issues,Develop on the above mentioned databases to support additional reporting and analytics,Develop additional data integrations using tools such as SSIS, Talend",Job Type: Full-time,"relevant: 5 years (Preferred),ETL: 5 years (Preferred)",
Business Intelligence Developer,Spring Green Enterprise," is a progressive national service provider and industry leading franchisor in need of a , based out of our , location , Competitive benefits include; medical, dental, life and disability insurance, 401(k) participation and paid holidays and vacation. Business casual environment. We are interested in your new and innovative ideas to help grow our business. Local candidates GC/USC only.","We offer a culture which supports , and our core standards of , and ,For more than 40 years, Spring-Green has been beautifying America’s neighborhood lawns and landscapes and we are proud to stand behind our work.","Design and develop semantics data layer based on the operational data models,Implement dashboards, scorecards, and non-aggregated reports with Microsoft SSRS and Power BI,Reverse engineer the existing data cubes and report procedures, and data warehouse logics,Participate in the software development lifecycle of complex data initiatives, including analysis, testing and documentation of systems developed,Collaborate with other business entity for new data extraction,Build effective working relationship with all functional areas of Spring-Green,Maintain current business reporting functionality during migration from Excel and Access",,"Bachelor degree from accredited college or university in related field,4+ years of experience with Microsoft SQL with SSAS and SSRS exposures,2+ years of experience with semantics data modeling and visualization tool (For example; SAP WEBI, Tableau, PowerBI),Independent self-starter with excellent time management and communication skills,Good understanding of Excel macro and automation,Knowledge of physical and logical database design a plus","BI Visualization Tool: 2 years (Required),SQL: 4 years (Required)"
Database Developer,Harvard University,,,,,,
Intern - Data Architecture Developer,USAble Life,,,,,,
Database Developer,Midlands Management Corporation,Midlands' Database Developer’s role is to deliver professional reports to all levels of the organization. This includes troubleshooting existing reports and software applications for all internal employees. Assist in the day to day management of all software report requests and software application service tickets.,"Perform software solution development activities that include but not limited to: module analysis, software system design, software system requirements development, software code documentation and software testing,Design, develop, test, implement and maintain reports as necessary to fulfill business requirements.,Create ad-hoc reports utilizing various data sources.,Design and develop solutions that will provide automated self-service reporting and dashboard designs,Execute code changes and new code development for reports and in-house .Net applications,Design, build, test, and maintain efficient, reusable, and reliable SQL Scripts and database designs,Perform data analysis, data querying, and data validation functions,Identify defects, inconsistencies, and bugs in scripts and database designs; devise solutions to these problems,Create new forms and reports, testing, debugging and performing day-to-day support.,Design, run and monitor software performance tests on new and existing programs for the purposes of correcting errors, isolating areas for improvement, and general debugging.,Liaise with network administrators, systems analysts, and software engineers to assist in resolving problems with software products or company software systems.,Develop and maintain user manuals and guidelines.,Train end users to operate new or modified programs.,Hands-on experience developing test cases and test plans,Additional duties as assigned by supervisors","Bachelors Degree in Computer Science or related field.,2-5 years of experience with databases, specifically SQL; SQL reporting writing using SSRS/ custom reporting tools,Application development experience with Windows applications in VB.NET/C# and working knowledge of Visual Studio environment,Experience with performance tuning of applications in real-time environment,Understanding of Windows system architecture/Windows debugging skills,Strong object-oriented design and problem solving skills",Job Type: Full-time,SQL Database reporting: 2 years (Preferred),Bachelor's (Preferred)
Neo4j Graph Database-Developer,Wipro LTD,,,,,,
SQL Database Developer,"CaptiveAire, Inc.",,"Database normalization,Data analysis and migration,Database performance analysis to find bottlenecks and areas for improvement.,Maintenance plans, compression, replication, and other admin responsibilities.","5+ years of experience using SQL Server; T/SQL, or equivalent relational database.","For overall project management, we use an internally-hosted instance of YouTrack as well as Confluence for documentation efforts. Our SQL servers range from MS SQL 2014-2017.","Medical, dental and vision insurance,Disability & life insurance based upon election of medical insurance,Paid holidays, vacation, and sick days based upon tenure,401k with employer match,Flexible spending account (FSA)","Microsoft SQL Server: 5 years (Preferred),SQL: 5 years (Required)"
Database Developer,CVS Health,,,,,,
Database Developer/Administrator,,Stage one: Health insurance sales company looking to contract person (s) to transfer paper insurance applications and files to digital database files. Skills required are data base creation and management. The primary goal is to eliminate and destroy all paper files from the existing office space in order to expedite and facilitate company relocation to commercial space,,,Stage one completion bonus,,
Bus Info Developer Consultant-PS25465,"Anthem, Inc.",,,,,,
SQL Developer DBA,,,,,,,
SQL Database Developer-Ames,,,,,,,
Senior SSIS/ETL Developer II,,,,,,,
SQL Developer,,,,,,,
Database Developer,,,,,,,
Bus Info Developer Consultant-PS25465,,,,,,,
Excel & Access Database Developer,,,,,,,
Database Developer,,Midlands' Database Developer’s role is to deliver professional reports to all levels of the organization. This includes troubleshooting existing reports and software applications for all internal employees. Assist in the day to day management of all software report requests and software application service tickets.,"Perform software solution development activities that include but not limited to: module analysis, software system design, software system requirements development, software code documentation and software testing,Design, develop, test, implement and maintain reports as necessary to fulfill business requirements.,Create ad-hoc reports utilizing various data sources.,Design and develop solutions that will provide automated self-service reporting and dashboard designs,Execute code changes and new code development for reports and in-house .Net applications,Design, build, test, and maintain efficient, reusable, and reliable SQL Scripts and database designs,Perform data analysis, data querying, and data validation functions,Identify defects, inconsistencies, and bugs in scripts and database designs; devise solutions to these problems,Create new forms and reports, testing, debugging and performing day-to-day support.,Design, run and monitor software performance tests on new and existing programs for the purposes of correcting errors, isolating areas for improvement, and general debugging.,Liaise with network administrators, systems analysts, and software engineers to assist in resolving problems with software products or company software systems.,Develop and maintain user manuals and guidelines.,Train end users to operate new or modified programs.,Hands-on experience developing test cases and test plans,Additional duties as assigned by supervisors","Bachelors Degree in Computer Science or related field.,2-5 years of experience with databases, specifically SQL; SQL reporting writing using SSRS/ custom reporting tools,Application development experience with Windows applications in VB.NET/C# and working knowledge of Visual Studio environment,Experience with performance tuning of applications in real-time environment,Understanding of Windows system architecture/Windows debugging skills,Strong object-oriented design and problem solving skills",Job Type: Full-time,SQL Database reporting: 2 years (Preferred),Bachelor's (Preferred)
Database Developer (SQL Server / SSIS),,,,,,,
Database Developer,,,,,,,
Business Intelligence Developer,," is a progressive national service provider and industry leading franchisor in need of a , based out of our , location , Competitive benefits include; medical, dental, life and disability insurance, 401(k) participation and paid holidays and vacation. Business casual environment. We are interested in your new and innovative ideas to help grow our business. Local candidates GC/USC only.","We offer a culture which supports , and our core standards of , and ,For more than 40 years, Spring-Green has been beautifying America’s neighborhood lawns and landscapes and we are proud to stand behind our work.","Design and develop semantics data layer based on the operational data models,Implement dashboards, scorecards, and non-aggregated reports with Microsoft SSRS and Power BI,Reverse engineer the existing data cubes and report procedures, and data warehouse logics,Participate in the software development lifecycle of complex data initiatives, including analysis, testing and documentation of systems developed,Collaborate with other business entity for new data extraction,Build effective working relationship with all functional areas of Spring-Green,Maintain current business reporting functionality during migration from Excel and Access",,"Bachelor degree from accredited college or university in related field,4+ years of experience with Microsoft SQL with SSAS and SSRS exposures,2+ years of experience with semantics data modeling and visualization tool (For example; SAP WEBI, Tableau, PowerBI),Independent self-starter with excellent time management and communication skills,Good understanding of Excel macro and automation,Knowledge of physical and logical database design a plus","BI Visualization Tool: 2 years (Required),SQL: 4 years (Required)"
Marketing Database Developer - Hux,,,,,,,
Programmer,,,,,,,
Database ETL Developer,,InfoMagnus is looking for a Senior Database and ETL Developer with the following experiences:,"Database development experience in Microsoft SQL Server, PostgreSQL,Knowledge of data integration concepts and experience developing using tools such as Microsoft SSIS, Talend,Working knowledge of Microsoft BI stack of tools (SQL Server, SSIS, SSRS),Expertise in data analysis and integration,Familiarity with Python coding to be able to support existing projects,Familiarity with tools such as TFS, Visual Studio, Gits,Preferred knowledge in AWS database technologies such as Redshift, RDS,Preferred knowledge in reporting tools such as QlikView, Tableau","Support and enhance existing ETL processes to load multiple data warehouses in SQL Server, PostgreSQL and Redshift databases,Work with business users and IT to analyze root cause of data issues identified,Address immediate data issues and also develop more sustainable, long term approaches to avoid such issues,Develop on the above mentioned databases to support additional reporting and analytics,Develop additional data integrations using tools such as SSIS, Talend",Job Type: Full-time,"relevant: 5 years (Preferred),ETL: 5 years (Preferred)",
4GL Developer with .Net,,Title: ,"Extensive experience in coding using C#,Need strong experience in .Net Platform.,Need to have hands on experience with Angular,Concept of SQL Query should be crystal clear.,Need to have strong communication skills,Hands on full stack .Net developer plus working experience in 4GL programming languages.","C#: 6 years (Preferred),4GL: 3 years (Required)",Rate,More than 1 year,Likely
Intern - Data Architecture Developer,,,,,,,
SQL Database Developer,,,"Database normalization,Data analysis and migration,Database performance analysis to find bottlenecks and areas for improvement.,Maintenance plans, compression, replication, and other admin responsibilities.","5+ years of experience using SQL Server; T/SQL, or equivalent relational database.","For overall project management, we use an internally-hosted instance of YouTrack as well as Confluence for documentation efforts. Our SQL servers range from MS SQL 2014-2017.","Medical, dental and vision insurance,Disability & life insurance based upon election of medical insurance,Paid holidays, vacation, and sick days based upon tenure,401k with employer match,Flexible spending account (FSA)","Microsoft SQL Server: 5 years (Preferred),SQL: 5 years (Required)"
Database Developer/Administrator,,Stage one: Health insurance sales company looking to contract person (s) to transfer paper insurance applications and files to digital database files. Skills required are data base creation and management. The primary goal is to eliminate and destroy all paper files from the existing office space in order to expedite and facilitate company relocation to commercial space,,,Stage one completion bonus,,
